epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2974.58,0.98268,0.86645,1.11278,0.80505,0.82985,0.86316,0.63952,0.90167,0.68762,1.04865,0.00333294,0.00333294,0.00333294
2,5876.19,0.97689,0.73791,1.11391,0.81513,0.84283,0.8735,0.65432,0.873,0.65526,1.04199,0.00633629,0.00633629,0.00633629
3,8755.41,1.00824,0.77338,1.14129,0.81736,0.83654,0.86944,0.65251,0.86636,0.6547,1.05218,0.00900965,0.00900965,0.00900965
4,11616.8,0.99355,0.7595,1.14062,0.82266,0.84683,0.87764,0.66574,0.84149,0.62603,1.04398,0.008515,0.008515,0.008515
5,14486.3,0.94026,0.70346,1.11075,0.8371,0.85439,0.88762,0.68229,0.81904,0.59852,1.02648,0.00802,0.00802,0.00802
6,17359.1,0.91159,0.67162,1.09633,0.84575,0.86284,0.89371,0.69265,0.80367,0.57599,1.01665,0.007525,0.007525,0.007525
7,20223.7,0.89126,0.6467,1.08488,0.85096,0.86821,0.89886,0.69969,0.79356,0.56185,1.01276,0.00703,0.00703,0.00703
8,23084.7,0.8757,0.6304,1.07867,0.85328,0.8695,0.902,0.70523,0.78581,0.55027,1.00824,0.006535,0.006535,0.006535
9,25947.2,0.86089,0.61334,1.06671,0.85826,0.87226,0.90479,0.70896,0.77931,0.54105,1.00299,0.00604,0.00604,0.00604
10,28818.2,0.85024,0.60023,1.06279,0.85599,0.87778,0.90692,0.71306,0.77359,0.53391,1.00035,0.005545,0.005545,0.005545
11,31670.9,0.8381,0.59055,1.05792,0.85976,0.87749,0.90911,0.71594,0.77002,0.5284,0.99881,0.00505,0.00505,0.00505
12,34520.6,0.82837,0.57719,1.05119,0.86235,0.87827,0.91074,0.71817,0.76683,0.52314,0.99704,0.004555,0.004555,0.004555
13,37377.1,0.81932,0.568,1.04346,0.86157,0.88033,0.91225,0.7201,0.76463,0.52007,0.99514,0.00406,0.00406,0.00406
14,40231.3,0.80884,0.55815,1.03722,0.86182,0.88245,0.9133,0.72225,0.7626,0.51673,0.99332,0.003565,0.003565,0.003565
15,43088.6,0.80069,0.5463,1.03093,0.86341,0.88391,0.91473,0.72364,0.7608,0.51254,0.99141,0.00307,0.00307,0.00307
16,45943,0.78944,0.53412,1.02837,0.86301,0.88578,0.91555,0.72503,0.75903,0.50967,0.99015,0.002575,0.002575,0.002575
17,48791.4,0.77934,0.52322,1.02349,0.86482,0.8871,0.91664,0.72664,0.75734,0.50702,0.98901,0.00208,0.00208,0.00208
18,51643.9,0.77078,0.51199,1.01708,0.86442,0.88939,0.91762,0.72833,0.75572,0.50508,0.98768,0.001585,0.001585,0.001585
19,54512.4,0.76005,0.49971,1.01063,0.86502,0.89049,0.91872,0.72985,0.75335,0.50122,0.98655,0.00109,0.00109,0.00109
20,57368.5,0.74172,0.46918,0.99578,0.86627,0.89131,0.91979,0.73141,0.75153,0.49811,0.98549,0.000595,0.000595,0.000595
