epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1531.53,1.2988,1.31234,1.33566,0.67379,0.69715,0.74596,0.45863,1.28261,1.31059,1.30276,0.000370094,0.000370094,0.000370094
1,1468.21,1.3402,1.35736,1.37844,0.70794,0.66717,0.72648,0.4457,1.3206,1.27366,1.35283,0.000370214,0.000370214,0.000370214
2,2882.9,1.31531,1.19023,1.37448,0.74788,0.69148,0.75126,0.49126,1.20383,1.11967,1.28039,0.000722219,0.000722219,0.000722219
3,4299.35,1.26183,1.11404,1.33924,0.71544,0.74873,0.79184,0.53433,1.17162,1.02895,1.2387,0.00105589,0.00105589,0.00105589
4,5711.6,1.21631,1.04655,1.30136,0.79506,0.73641,0.81674,0.559,1.12279,0.95394,1.21626,0.00102851,0.00102851,0.00102851
5,7121.34,1.16984,0.98305,1.27217,0.75333,0.78447,0.82389,0.57106,1.0773,0.933,1.18601,0.00100101,0.00100101,0.00100101
6,8533.64,1.12502,0.93489,1.25051,0.78359,0.77937,0.8336,0.5836,1.08633,0.91334,1.1913,0.000973514,0.000973514,0.000973514
7,9943.7,1.10722,0.90869,1.23296,0.79198,0.78524,0.83971,0.59778,1.05975,0.87728,1.16554,0.000946016,0.000946016,0.000946016
8,11353.9,1.0896,0.89186,1.22078,0.81733,0.77857,0.84809,0.60595,1.04202,0.86578,1.14945,0.000918519,0.000918519,0.000918519
9,12764.2,1.06083,0.86222,1.20402,0.80859,0.79715,0.85252,0.61563,1.00687,0.83397,1.13702,0.000891022,0.000891022,0.000891022
10,14174.2,1.04943,0.84551,1.20123,0.81059,0.81011,0.85518,0.62355,1.01153,0.83529,1.1278,0.000863525,0.000863525,0.000863525
11,15587.3,1.03562,0.83483,1.18633,0.81052,0.81223,0.8553,0.62222,0.99906,0.83056,1.12695,0.000836027,0.000836027,0.000836027
12,17016.2,1.02907,0.82638,1.18295,0.82862,0.80964,0.86536,0.63339,0.98658,0.80541,1.11862,0.00080853,0.00080853,0.00080853
13,18450.3,1.0146,0.80509,1.17058,0.80644,0.82224,0.86218,0.63422,0.99551,0.79802,1.12222,0.000781033,0.000781033,0.000781033
14,19893.9,1.00462,0.79179,1.16652,0.8075,0.82089,0.86621,0.64386,0.97582,0.79516,1.10793,0.000753536,0.000753536,0.000753536
15,21371.9,0.99121,0.78321,1.16252,0.83788,0.81185,0.87068,0.64419,0.97408,0.78056,1.11197,0.000726038,0.000726038,0.000726038
16,22784.9,0.98319,0.77334,1.1551,0.82031,0.82486,0.87395,0.65145,0.97557,0.76567,1.10692,0.000698541,0.000698541,0.000698541
17,24197.7,0.98036,0.77157,1.15525,0.80861,0.82884,0.87342,0.65417,0.96529,0.76493,1.10137,0.000671044,0.000671044,0.000671044
18,25611.2,0.97269,0.75496,1.15038,0.81199,0.8355,0.8746,0.65421,0.96106,0.76182,1.09794,0.000643547,0.000643547,0.000643547
19,27026.4,0.96252,0.75535,1.14327,0.8183,0.82652,0.87674,0.65639,0.95278,0.76222,1.09439,0.000616049,0.000616049,0.000616049
20,28438,0.95152,0.7378,1.13479,0.81105,0.84277,0.8801,0.6603,0.95475,0.74985,1.09613,0.000588552,0.000588552,0.000588552
21,29852.2,0.94715,0.73378,1.13235,0.82018,0.83045,0.87099,0.66006,0.9422,0.75276,1.09257,0.000561055,0.000561055,0.000561055
22,31265.4,0.94694,0.72659,1.13352,0.8139,0.85238,0.8812,0.66665,0.93757,0.74199,1.09271,0.000533558,0.000533558,0.000533558
23,32678.8,0.93233,0.71688,1.12543,0.80729,0.8476,0.87284,0.66622,0.93673,0.7429,1.08679,0.00050606,0.00050606,0.00050606
24,34091.9,0.93239,0.71333,1.12294,0.83399,0.84473,0.88487,0.67419,0.9372,0.72307,1.08202,0.000478563,0.000478563,0.000478563
25,35507,0.92721,0.70117,1.11947,0.82833,0.84354,0.87883,0.6692,0.93881,0.73556,1.08336,0.000451066,0.000451066,0.000451066
26,36919.8,0.91281,0.69408,1.11285,0.84579,0.84057,0.88113,0.67431,0.93009,0.72312,1.07705,0.000423569,0.000423569,0.000423569
27,38334.6,0.91117,0.69507,1.11199,0.82924,0.84431,0.88195,0.67317,0.92898,0.72112,1.08027,0.000396071,0.000396071,0.000396071
28,39748.3,0.9034,0.68394,1.10895,0.83206,0.84672,0.88173,0.67421,0.92627,0.71791,1.07822,0.000368574,0.000368574,0.000368574
29,41161.2,0.89341,0.67541,1.09772,0.82779,0.85581,0.88301,0.67695,0.92404,0.71922,1.07563,0.000341077,0.000341077,0.000341077
30,42576.3,0.88542,0.66048,1.09228,0.84562,0.84702,0.88606,0.67828,0.92323,0.71337,1.07434,0.00031358,0.00031358,0.00031358
31,43993.4,0.88663,0.66325,1.09985,0.84521,0.85036,0.88708,0.68322,0.9194,0.7076,1.07479,0.000286083,0.000286083,0.000286083
