epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,813.951,1.16395,1.54906,1.17942,0.76379,0.7817,0.82085,0.56448,1.08113,0.91717,1.13566,0.000370206,0.000370206,0.000370206
2,1598.22,1.07227,0.87031,1.12117,0.77955,0.82102,0.85411,0.61907,0.97963,0.78449,1.07012,0.000667226,0.000667226,0.000667226
3,2382.05,1.02028,0.78437,1.09498,0.78577,0.84056,0.86977,0.64172,0.9399,0.73863,1.04667,0.00089092,0.00089092,0.00089092
4,3164.06,0.96836,0.72295,1.06858,0.8307,0.83918,0.88271,0.65861,0.90886,0.68953,1.03131,0.000781033,0.000781033,0.000781033
5,3951.16,0.92264,0.67327,1.0461,0.82379,0.86547,0.88905,0.68207,0.86891,0.64666,1.00561,0.000671044,0.000671044,0.000671044
6,4731.82,0.88444,0.63668,1.02629,0.83912,0.86857,0.89867,0.69953,0.83253,0.61758,0.98866,0.000561055,0.000561055,0.000561055
7,5538.87,0.8543,0.60993,1.01274,0.84786,0.88013,0.90371,0.7072,0.81552,0.59642,0.97797,0.000451066,0.000451066,0.000451066
8,6410.57,0.82839,0.58221,1.00105,0.85465,0.88212,0.90849,0.71822,0.79444,0.57235,0.96026,0.000341077,0.000341077,0.000341077
9,7322.74,0.79422,0.55463,0.98372,0.85857,0.89311,0.91342,0.73024,0.77309,0.55575,0.952,0.000231088,0.000231088,0.000231088
10,8209.65,0.77013,0.53446,0.97493,0.877,0.88468,0.91722,0.73679,0.75659,0.53521,0.94059,0.000121099,0.000121099,0.000121099
