epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4186.35,0.95388,0.8391,1.10002,0.80135,0.83685,0.86497,0.65102,0.88667,0.67764,1.04015,0.00333294,0.00333294,0.00333294
2,8258.05,0.95697,0.71913,1.10615,0.81792,0.84501,0.8751,0.6609,0.8568,0.65181,1.02938,0.00633629,0.00633629,0.00633629
3,12301.7,0.99207,0.75548,1.13526,0.82383,0.83823,0.87107,0.65553,0.86353,0.641,1.05436,0.00900965,0.00900965,0.00900965
4,16331.3,0.97728,0.7411,1.13625,0.83223,0.85209,0.88358,0.67468,0.82893,0.61202,1.0373,0.008515,0.008515,0.008515
5,20358,0.92563,0.6858,1.10744,0.83984,0.85786,0.88986,0.68799,0.80921,0.5872,1.02335,0.00802,0.00802,0.00802
6,24390,0.89662,0.65429,1.0944,0.85,0.86202,0.89643,0.69859,0.79583,0.56191,1.0178,0.007525,0.007525,0.007525
7,28423.1,0.87658,0.6293,1.08006,0.85072,0.87037,0.90034,0.7053,0.7847,0.5485,1.00929,0.00703,0.00703,0.00703
8,32457.5,0.86143,0.61517,1.0728,0.85665,0.87023,0.90407,0.71199,0.77593,0.53871,1.00474,0.006535,0.006535,0.006535
9,36487.2,0.84577,0.59631,1.06227,0.85917,0.87238,0.90766,0.71536,0.77002,0.52859,0.99958,0.00604,0.00604,0.00604
10,40516.3,0.83521,0.58334,1.05772,0.85647,0.88017,0.90983,0.71907,0.76507,0.52348,0.99778,0.005545,0.005545,0.005545
11,44549.7,0.82426,0.57315,1.05179,0.85742,0.88417,0.91154,0.72201,0.76294,0.51743,0.9963,0.00505,0.00505,0.00505
12,48586.5,0.81434,0.5621,1.04775,0.85871,0.88606,0.91354,0.72436,0.7603,0.5121,0.99528,0.004555,0.004555,0.004555
13,52618.5,0.80601,0.55181,1.04229,0.85752,0.88951,0.91487,0.72646,0.75841,0.50814,0.99402,0.00406,0.00406,0.00406
14,56647.9,0.79535,0.54254,1.0374,0.8598,0.88953,0.91613,0.72816,0.75621,0.5038,0.99306,0.003565,0.003565,0.003565
15,60675.3,0.78611,0.53276,1.02946,0.86035,0.89139,0.91723,0.72965,0.75451,0.50038,0.99194,0.00307,0.00307,0.00307
16,64707.3,0.77633,0.519,1.02522,0.86063,0.89312,0.91834,0.73128,0.75263,0.49776,0.99075,0.002575,0.002575,0.002575
17,68737,0.76563,0.50794,1.01868,0.86335,0.89406,0.91943,0.73314,0.75082,0.49501,0.98938,0.00208,0.00208,0.00208
18,72773.4,0.75705,0.4957,1.01574,0.86484,0.89517,0.92062,0.73457,0.7493,0.4924,0.98816,0.001585,0.001585,0.001585
19,76804.2,0.74573,0.48428,1.00891,0.86857,0.89575,0.92168,0.73638,0.74761,0.48967,0.98679,0.00109,0.00109,0.00109
20,80822.6,0.72897,0.45406,0.99722,0.87088,0.89617,0.92241,0.73777,0.7462,0.48645,0.98601,0.000595,0.000595,0.000595
